"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"20:00",2022-10-19,"USD","Total Net TIC Flows(Aug)",2.756e+11,NA,NA,1.54e+10,"18",2022-10-19 07:00:00
"20:30",2022-10-19,"USD","API Weekly Crude Oil Stock(Oct 14)",12700000,NA,NA,705400000,"18",2022-10-19 07:30:00
"23:30",2022-10-19,"AUD","Westpac Leading Index (MoM)(Sep)",5e-04,NA,NA,0.0016,"18",2022-10-19 10:30:00
"06:00",2022-10-19,"GBP","Consumer Price Index (MoM)(Sep)",0.005,0.83,0.004,0.005,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Consumer Price Index (YoY)(Sep)",0.101,0.5,0.1,0.099,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Core Consumer Price Index (YoY)(Sep)",0.065,0.74,0.064,0.063,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","PPI Core Output (MoM) n.s.a(Sep)",0.007,0.24,0.009,0.005,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","PPI Core Output (YoY) n.s.a (Sep)",0.14,1.65,0.127,0.139,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Producer Price Index - Input (MoM) n.s.a(Sep)",0.004,1.11,0.004,0.009,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Producer Price Index - Input (YoY) n.s.a(Sep)",0.2,0.73,0.188,0.209,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Producer Price Index - Output (MoM) n.s.a(Sep)",0.002,0.13,0.003,0.001,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Producer Price Index - Output (YoY) n.s.a(Sep)",0.159,0.21,0.157,0.164,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Retail Price Index (MoM)(Sep)",0.007,1.41,0.005,0.006,"19",2022-10-19 17:00:00
"06:00",2022-10-19,"GBP","Retail Price Index (YoY)(Sep)",0.126,1.79,0.123,0.123,"19",2022-10-19 17:00:00
"08:30",2022-10-19,"GBP","DCLG House Price Index (YoY)(Aug)",0.136,0.15,0.131,0.16,"19",2022-10-19 19:30:00
"09:00",2022-10-19,"EUR","Construction Output  s.a (MoM)(Aug)",0.006,0.25,0.001,0.003,"19",2022-10-19 20:00:00
"09:00",2022-10-19,"EUR","Construction Output w.d.a (YoY)(Aug)",0.023,0.59,0.088,0.021,"19",2022-10-19 20:00:00
"09:00",2022-10-19,"EUR","Core Harmonized Index of Consumer Prices (MoM)(Sep)",0.01,0,0.01,0.01,"19",2022-10-19 20:00:00
"09:00",2022-10-19,"EUR","Core Harmonized Index of Consumer Prices (YoY)(Sep)",0.048,0,0.048,0.048,"19",2022-10-19 20:00:00
"09:00",2022-10-19,"EUR","Harmonized Index of Consumer Prices (MoM)(Sep)",0.012,0,0.012,0.012,"19",2022-10-19 20:00:00
"09:00",2022-10-19,"EUR","Harmonized Index of Consumer Prices (YoY)(Sep)",0.099,0.74,0.1,0.1,"19",2022-10-19 20:00:00
"10:30",2022-10-19,"GBP","10-y Bond Auction",0.04109,NA,NA,0.04123,"19",2022-10-19 21:30:00
"11:00",2022-10-19,"USD","MBA Mortgage Applications(Oct 14)",0.045,NA,NA,0.02,"19",2022-10-19 22:00:00
"12:30",2022-10-19,"USD","Building Permits (MoM)(Sep)",156400000,0.6,15300000,154200000,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"USD","Building Permits Change(Sep)",0.014,NA,NA,0.085,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"USD","Housing Starts (MoM)(Sep)",143900000,0.38,147500000,156600000,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"USD","Housing Starts Change(Sep)",0.081,NA,NA,0.137,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","BoC Consumer Price Index Core (MoM)(Sep)",0.004,0,0.004,0,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","BoC Consumer Price Index Core (YoY)(Sep)",0.06,1.11,0.056,0.058,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","Consumer Price Index - Core (MoM)(Sep)",0.004,NA,NA,0.003,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","Consumer Price Index (MoM)(Sep)",0.001,0.45,0,0.003,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","Consumer Price Index (YoY)(Sep)",0.069,0.43,0.068,0.07,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","Industrial Product Price (MoM)(Sep)",0.001,0.95,0.02,0.016,"19",2022-10-19 23:30:00
"12:30",2022-10-19,"CAD","Raw Material Price Index(Sep)",0.032,0.46,0,0.043,"19",2022-10-19 23:30:00
"14:30",2022-10-20,"USD","EIA Crude Oil Stocks Change(Oct 14)",172500000,0.87,13800000,98800000,"19",2022-10-20 01:30:00
"17:00",2022-10-20,"USD","20-Year Bond Auction",0.04395,NA,NA,0.0382,"19",2022-10-20 04:00:00
"23:50",2022-10-20,"JPY","Adjusted Merchandise Trade Balance(Sep)",2,1.48,2,2,"19",2022-10-20 10:50:00
"23:50",2022-10-20,"JPY","Exports (YoY)(Sep)",0.289,1.38,0.271,0.22,"19",2022-10-20 10:50:00
"23:50",2022-10-20,"JPY","Foreign Bond Investment(Oct 14)",3.899e+11,NA,NA,1,"19",2022-10-20 10:50:00
"23:50",2022-10-20,"JPY","Foreign Investment in Japan Stocks(Oct 14)",4.088e+11,NA,NA,1,"19",2022-10-20 10:50:00
"23:50",2022-10-20,"JPY","Imports (YoY)(Sep)",0.459,0.22,0.45,0.499,"19",2022-10-20 10:50:00
"23:50",2022-10-20,"JPY","Merchandise Trade Balance Total(Sep)",2,0.26,2,2,"19",2022-10-20 10:50:00
"00:30",2022-10-20,"AUD","Employment Change s.a.(Sep)",900,0.53,25000,36300,"20",2022-10-20 11:30:00
"00:30",2022-10-20,"AUD","Full-Time Employment(Sep)",13300,NA,NA,5500,"20",2022-10-20 11:30:00
"00:30",2022-10-20,"AUD","National Australia Bank's Business Confidence (QoQ)(Q3)",9,0.14,7,5,"20",2022-10-20 11:30:00
"00:30",2022-10-20,"AUD","Part-Time Employment(Sep)",12400,NA,NA,25300,"20",2022-10-20 11:30:00
"00:30",2022-10-20,"AUD","Participation Rate(Sep)",0.666,0,0.666,0.666,"20",2022-10-20 11:30:00
"00:30",2022-10-20,"AUD","Unemployment Rate s.a.(Sep)",0.035,0,0.035,0.035,"20",2022-10-20 11:30:00
"01:15",2022-10-20,"CNY","PBoC Interest Rate Decision",0.0365,NA,NA,0.0365,"20",2022-10-20 12:15:00
"06:00",2022-10-20,"EUR","Producer Price Index (MoM)(Sep)",0.023,0.37,0.013,0.079,"20",2022-10-20 17:00:00
"06:00",2022-10-20,"EUR","Producer Price Index (YoY)(Sep)",0.458,0.32,0.447,0.458,"20",2022-10-20 17:00:00
"06:00",2022-10-20,"CHF","Exports (MoM)(Sep)",24,NA,NA,20,"20",2022-10-20 17:00:00
"06:00",2022-10-20,"CHF","Imports (MoM)(Sep)",20,NA,NA,17,"20",2022-10-20 17:00:00
"06:00",2022-10-20,"CHF","Trade Balance(Sep)",4,0.39,3,3,"20",2022-10-20 17:00:00
"06:45",2022-10-20,"EUR","Business Climate in Manufacturing(Oct)",103,1.47,101,102,"20",2022-10-20 17:45:00
"08:00",2022-10-20,"EUR","Current Account n.s.a(Aug)",2.021e+11,1.52,7.5e+09,8.6e+09,"20",2022-10-20 19:00:00
"08:00",2022-10-20,"EUR","Current Account s.a(Aug)",2.632e+11,1.92,1.6e+10,2e+09,"20",2022-10-20 19:00:00
